Country,Theft,Fraud,Drugs,Burglary,Serious assault,Sexual violence,Robbery,Acts against computer systems,Corruption,Sexual exploitation,Money laundering,Attempted intentional homicide,Participation in an organized criminal group,Intentional homicide,Kidnapping,Total Crimes,Unemployment Rate,GDP
Sweden,2784.26,2701.06,1158.39,703.48,46.37,217.72,70.34,111.43,205.03,59.75,90.08,9.57,0.0,1.09,0.0,8158.570000000001,6.5,636856236396.2393
Denmark,2134.02,925.06,490.85,521.11,32.26,108.61,22.04,0.0,81.8,36.39,20.33,2.28,0.0,0.72,0.0,4375.47,3.6,398303272764.4596
Finland,2242.66,853.02,505.8,114.66,30.05,90.64,34.19,35.64,66.86,13.82,10.75,6.76,0.05,1.7,0.04,4006.64,5.2,296387625263.56116
Belgium,1428.7,811.55,480.49,392.89,502.93,84.37,99.05,73.64,40.73,24.35,47.94,8.94,4.23,1.26,0.0,4001.0699999999997,3.8,594351961634.4866
France,1786.35,345.47,426.74,398.23,522.86,109.71,82.96,23.7,4.04,18.38,2.82,5.03,3.21,1.08,0.0,3730.58,4.9,2957879759263.5186
Luxembourg,1717.58,235.58,594.43,489.34,86.34,54.83,93.74,0.0,0.63,0.0,0.0,10.87,9.61,0.47,5.83,3299.2499999999995,3.5,85506243833.78157
Germany,1004.59,971.63,434.19,292.43,147.12,50.26,36.23,0.0,6.15,53.78,10.75,1.87,0.84,0.76,6.09,3016.69,2.5,4259934911821.637
Austria,819.61,611.28,396.98,452.1,40.41,48.74,23.71,168.92,32.63,23.68,5.92,1.35,1.01,0.66,0.03,2627.03,4.2,480368403893.3644
Italy,1183.42,475.65,50.42,0.0,100.72,9.73,38.05,33.64,6.49,4.33,3.11,0.0,1.19,0.51,0.2,1907.4600000000003,5.3,2114355756913.9194
Ireland,891.23,118.08,384.39,167.51,96.24,58.35,23.43,2.14,0.16,10.23,0.0,0.32,0.0,0.44,2.0,1754.52,4.3,504182603275.5423
Spain,262.25,761.74,38.64,222.1,42.73,31.47,111.97,15.78,2.18,3.94,0.65,2.18,3.52,0.61,0.2,1499.96,9.6,1427380681294.5508
Malta,867.66,157.61,116.84,169.15,33.13,26.74,19.57,77.12,5.04,0.0,20.41,1.55,0.0,0.39,0.0,1495.21,2.3,17743376199.352325
Netherlands,1052.96,0.0,66.04,211.81,26.15,26.12,31.76,0.0,30.07,2.6,10.75,0.0,0.0,0.72,2.6,1461.5800000000002,3.1,1011798853061.9993
Portugal,621.02,359.4,43.12,159.31,6.11,26.4,76.65,14.53,2.06,0.0,0.46,0.0,0.03,0.8,2.22,1312.11,4.4,253982847571.0153
Slovenia,634.76,161.22,61.31,224.9,56.14,21.2,10.53,7.92,11.38,0.0,0.0,1.04,0.19,0.43,0.19,1191.21,3.1,61748586534.867226
Poland,287.32,364.05,183.99,194.17,12.72,8.49,12.88,16.31,16.14,15.01,1.71,0.83,2.37,0.7,0.0,1116.69,2.1,679441900610.6633
Estonia,564.86,138.83,272.17,0.0,5.56,29.55,9.7,18.8,6.54,0.0,1.58,0.68,0.08,1.35,0.0,1049.7,4.4,37191166151.98003
Greece,551.92,37.87,112.17,125.14,11.11,3.0,22.5,3.62,7.09,1.07,0.32,1.42,3.35,0.83,0.58,881.99,8.6,214873879833.6477
Croatia,255.8,61.78,221.76,188.14,18.01,22.07,14.96,32.13,22.59,12.36,0.52,2.55,0.5,0.82,0.07,854.0600000000002,4.5,68843674641.21117
Latvia,417.28,90.74,77.28,146.79,29.0,17.69,13.89,0.95,10.83,15.42,21.75,1.0,0.0,5.18,0.32,848.1199999999999,5.1,39725383601.21254
Romania,471.44,58.06,40.72,135.49,0.95,12.21,17.77,7.82,20.92,5.0,1.24,1.56,3.07,0.99,1.97,779.21,3.2,285404683024.53656
Czechia,248.45,74.36,39.21,287.32,34.58,14.89,11.49,17.44,13.02,6.63,5.2,0.55,0.21,0.43,0.08,753.8599999999999,1.9,281791218507.0996
Hungary,436.02,158.16,71.64,0.0,0.0,4.86,5.56,0.0,66.96,5.1,3.08,0.65,0.0,0.69,0.04,752.76,2.7,182275444031.7896
Lithuania,276.71,96.2,112.49,29.4,4.51,5.26,11.09,25.22,22.32,12.52,2.97,0.21,0.18,2.5,0.04,601.6199999999999,5,66414994991.7935
Bulgaria,353.28,24.04,71.05,59.77,39.88,7.91,12.14,0.74,8.17,0.0,0.69,0.4,0.95,1.27,1.0,581.29,3.3,84061395658.22096
Cyprus,58.82,27.48,93.53,96.43,19.98,7.03,7.59,16.29,1.34,19.87,0.0,1.45,0.0,1.56,0.33,351.7,5.2,28408064462.18559
